,eng,ipq
170,I wonder what fe@@ ll from up there.,P@@ a@@ akäa su@@ atai kat@@ aä@@ niq@@ pa?
171,The ra@@ ven on top of the house is ca@@ w@@ ing.,T@@ ulug@@ aq p@@ akma tupqum qaaä@@ ani q@@ al@@ à@@ uq@@ tuq.
172,Jesus is going to come down from hea@@ ven some da@@ y.,Jesus atq@@ aàniaqtuq pakm@@ akäa iá@@ aat@@ ni@@ gu.
173,Let us thin@@ k hea@@ ven@@ war@@ d.,P@@ akm@@ uäatm@@ un isrum@@ aur@@ aàni@@ aqta@@ .
174,P@@ ut a b@@ an@@ da@@ ge on his ar@@ m.,U@@ na talli@@ ag@@ un mami@@ t@@ all@@ ag@@ uä!
175,"I le@@ ar@@ ned to sing through these p@@ eo@@ ple@@ , my associa@@ te@@ s.",Iáa@@ pk@@ un uk@@ un@@ uuna atu@@ tla@@ sriru@@ äa.
176,You are sm@@ all@@ er than this one.,U@@ um@@ akäa mik@@ it@@ lu@@ ä@@ niqsu@@ ti@@ n.
177,That one dog lo@@ ves to ea@@ t.,Taamna qipmiq niàisu@@ uruq.
178,He gets food from those tw@@ o@@ .,Taa@@ pk@@ uän@@ akäa niqiksr@@ a@@ ru@@ a@@ ruq.
179,He b@@ ar@@ ks like those do@@ g@@ s.,Taa@@ pkun@@ atitun q@@ iá@@ ugu@@ uruq.
180,That woman is a hard wor@@ k@@ er.,M@@ anna aàn@@ aq sav@@ vak@@ tu@@ â@@ all@@ aktuq.
181,She is not like others around here.,A@@ tla@@ tun mat@@ k@@ un@@ atitun i@@ nà@@ itchu@@ q.
182,We u@@ su@@ ally pic@@ k c@@ l@@ ou@@ d@@ berries from around here.,M@@ arrumakäa aq@@ pi@@ ä@@ ñiaà@@ aqtugut.
183,I wonder what happen@@ ed to my com@@ p@@ an@@ i@@ on.,Iá@@ aq@@ ati@@ ga im@@ ña su@@ llak@@ pa@@ -ta@@ i@@ .
184,It is amazing that people ha@@ ven@@ 't come to visit!,Ipchunani iñuäni iññiatla@@ ir@@ ru@@ qtu@@ g@@ alukkut.
185,It is amazing that people don't come to visit!,Ipchunani iñuäni iññiatla@@ itch@@ alukkut.
186,We a@@ te at the place where we pic@@ ked blue@@ ber@@ ri@@ e@@ s.,I@@ vrum@@ ani asri@@ aàni@@ aàvi@@ p@@ tik@@ ni niàiñi@@ aqtugut.
187,Let the person near the door sit dow@@ n.,U@@ ä@@ na iñuk aq@@ uvit@@ ti@@ l@@ lu@@ gu.
188,Go out with the one near the door.,Ug@@ rumuuna ani@@ ñi@@ ur@@ aàin.
189,It appears the person knocking outside is un@@ able to come in@@ .,S@@ akimna katch@@ ak@@ tuq@@ tu@@ aq isi@@ tla@@ ià@@ uknaqtuq.
190,Don't star@@ t han@@ g@@ ing out with that one there.,S@@ aki@@ v@@ ru@@ miäa m@@ all@@ iàñi@@ aqnak.
191,I wonder about the na@@ me of the man across there.,Ik@@ ña aäun ki@@ mik-tai ati@@ q@@ aqpa@@ .
192,C@@ ould you get some coffe@@ e from those two across there?,Ich@@ i@@ gu@@ än@@ akäa kuukpi@@ ak@@ sri@@ al@@ la@@ âhiñau@@ vich?
193,She wants to have a house like that one across there.,Ik@@ sru@@ matun tu@@ piq@@ aàu@@ l@@ iqsuq.
194,The l@@ and across there is bea@@ u@@ ti@@ ful.,Aä@@ na n@@ una piññ@@ ak@@ naqtuq.
195,It is d@@ an@@ g@@ er@@ ous in the f@@ o@@ re@@ st across there.,Ag@@ rum@@ ani tik@@ iq@@ q@@ ami nu@@ yu@@ aà@@ naqtuq.
196,She is walking al@@ ong the pa@@ th across there.,Ag@@ rumuuna tumitchiakun pisru@@ k@@ saaqtuq.
197,I@@ s my grandmother across there in g@@ ood he@@ al@@ th@@ ?,Aki@@ mna aan@@ aga nak@@ uu@@ g@@ alu@@ aqpa@@ ?
198,I rece@@ i@@ ved a le@@ tt@@ er from my relatives across there.,Aki@@ pkunakäa iá@@ am@@ niñ tu@@ yu@@ sriaq@@ aqtu@@ äa.
199,That one over there is making f@@ ac@@ es again@@ .,Iñ@@ ña iq@@ umi@@ r@@ aaà@@ ur@@ algitchuq.
200,A@@ ll of a su@@ d@@ de@@ n she wants to l@@ ook like them over there.,Ich@@ uä@@ nak@@ tun q@@ iññ@@ aq@@ aàu@@ liq@@ si@@ qtuq.
201,I wonder what the man walking over there f@@ oun@@ d.,Amna pisruktu@@ aqtuaq su@@ mik-tai paq@@ itch@@ iáá@@ ak@@ pa?
202,He le@@ f@@ t with those who are going for a wal@@ k.,A@@ pkun@@ uuna pisruktu@@ aqtu@@ ati@@ gun aull@@ aq@@ miuq.
203,My un@@ c@@ le over there is pro@@ bab@@ ly h@@ un@@ g@@ ry.,Amna aä@@ atch@@ iaàa niàisu@@ k@@ paluk@@ tu@@ aq.
204,He went to get fish from those two over there.,A@@ pkunakäa qa@@ luk@@ sri@@ aqtiqtuq.
205,The tree back there is tal@@ l.,P@@ iñña napaaqtuq taki@@ niqsuq.
206,He entered through the door back there.,P@@ ir@@ rumuuna ta@@ luk@@ un isi@@ qtuq.
207,There are cran@@ berries on the hi@@ ll back there.,Pamna qi@@ mià@@ aaq k@@ ik@@ miñ@@ iq@@ aqtuq.
208,He started making a ro@@ a@@ d back there.,Pav@@ rumuuna tumitchi@@ al@@ ig@@ aqsiñ@@ iqsuq.
209,This time there are no berries back there at the place about wh@@ ic@@ h they us@@ ed to tal@@ k.,Pamna uqauti@@ gi@@ sru@@ ukk@@ aä@@ at asri@@ aäitchuq m@@ aat@@ n@@ a.
210,I f@@ ound blue@@ berries back there.,Pav@@ rumakäa paq@@ itchi@@ ru@@ äa asri@@ av@@ iä@@ nik.
211,The one in there singing became j@@ o@@ y@@ ful.,Ki@@ m@@ ña atuqtu@@ at q@@ uviatch@@ aktuq.
212,Those musi@@ ci@@ ans inside are all sm@@ il@@ ing.,Ki@@ pch@@ ua atuqtuur@@ aqtit ig@@ l@@ aä@@ aaàik@@ su@@ t.
213,Those st@@ ill upriver are coming on a log ra@@ f@@ t.,Qa@@ pkua umi@@ aà@@ luk@@ tu@@ at aggi@@ uraaqtut.
214,S@@ er@@ ve some food to those upriver who che@@ ck the ne@@ ts.,Qa@@ pkun@@ uäa k@@ uv@@ raq@@ sru@@ qtu@@ anun pa@@ yu@@ llak@@ ti@@ ài@@ n niqiksr@@ aä@@ at@@ nik.
215,The one cooking in there is making noise with dis@@ hes.,Q@@ amna nik@@ ñi@@ aqtuaq p@@ ugu@@ t@@ aq@@ srularuq.
216,Perhaps your sp@@ ouse inside is ready to c@@ all us.,Qav@@ ruma iá@@ aq@@ at@@ vich tuq@@ âu@@ y@@ asri@@ v@@ aluk@@ k@@ aatigu@@ k.
217,My plan@@ t out there certa@@ in@@ ly g@@ re@@ w n@@ ic@@ e@@ l@@ y.,K@@ iä@@ ña nau@@ tch@@ iaàa nau@@ â@@ ani@@ aqtuq.
218,We are thankful for the sha@@ de that tree out there pro@@ vi@@ de@@ s.,Kig@@ ruma napaaqtum t@@ aà@@ à@@ isi@@ m@@ auraaà@@ lu@@ à@@ aatigut.
219,The are@@ a outside the house is c@@ le@@ an.,Q@@ aäna tupqum si@@ á@@ at@@ aa sa@@ lu@@ ma@@ ruq.
220,Q@@ u@@ ickly go around the house on the trail out there.,Q@@ ag@@ rumuuna tumitchiakun k@@ ai@@ v@@ r@@ aati@@ q@@ saàin.
221,It sounds like the dog has come into the p@@ or@@ ch.,Q@@ akimna qipmiq q@@ ani@@ s@@ anun isià@@ uknaqtuq.
222,He is playing among the children out there.,Q@@ aki@@ pkun@@ ani iyaa@@ lugru@@ aà@@ ni qi@@ tik@@ tu@@ aqtuq.
223,That one down there is lo@@ ad@@ ing the bo@@ a@@ t.,Kanna umi@@ ami ik@@ sru@@ i@@ ruq.
224,S@@ e@@ e that you get some m@@ on@@ e@@ y from you da@@ d down there.,K@@ arrumakäa taa@@ ta@@ p@@ niñ m@@ anik@@ sriaq@@ saàin.
225,The one c@@ ros@@ sing down there is stru@@ tt@@ ing.,Unna ika@@ aqtuaq pisru@@ vi@@ ur@@ aal@@ gitchuq.
226,Go and get ma@@ t@@ che@@ s from your ol@@ der si@@ ster down there.,U@@ r@@ rumakäa aaq@@ aur@@ ak@@ niñ pisruktu@@ ami@@ ñ ik@@ uti@@ k@@ sri@@ aàin.
227,I as@@ su@@ me there is a m@@ ouse under the house.,S@@ amna av@@ iññ@@ auraq tupqum ataa@@ ni@@ itch@@ uknaqtuq.
228,They brought the b@@ un@@ d@@ le of fish from those people down there.,I@@ q@@ mak@@ ta@@ t pa@@ ni@@ ktut sa@@ pkunakäa mauä@@ auti@@ âuaà@@ niàaich.
229,A tree s@@ qui@@ r@@ re@@ l is cli@@ mb@@ ing to the ti@@ p of the tree up there.,Pik@@ ña s@@ aq@@ al@@ at@@ aay@@ i@@ q mayuà@@ niqsuq napaaqtum n@@ uv@@ u@@ an@@ un.
230,She was stru@@ ck by the bea@@ ut@@ y of the tree to@@ pp@@ er up there.,Pik@@ sru@@ miäa uvlu@@ ài@@ aä@@ ä@@ u@@ amik piññ@@ aqqi@@ ak@@ l@@ aktuq.
231,That little plan@@ e up there is fa@@ ster than ex@@ pe@@ c@@ ted.,P@@ aäna tiämi@@ su@@ ug@@ auraq suka@@ âuaà@@ niqsuq.
232,"W@@ ow@@ , I wi@@ sh I could fly like that cran@@ e up there.",Tiä@@ miur@@ aaà@@ v@@ iksr@@ aq pa@@ g@@ ru@@ matun ta@@ ti@@ r@@ g@@ atu@@ n.
233,It sounds like i@@ t@@ 's getting ready to th@@ under up there.,P@@ akimna kat@@ ru@@ l@@ ani@@ ag@@ aqsip@@ ma@@ tu@@ n.
234,The little bir@@ d ma@@ de a ne@@ st in that place up there.,P@@ aki@@ vrum@@ uäa tiämiur@@ aq uvlu@@ u@@ sri@@ iñiqsuq.
235,,
236,,
237,,
